School_Clip,base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,The teacher adjusts teaching to the level of students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills
321356 Clip 1,321356,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,2,N/A,L,N/A,N/A,N/A,L,N/A,L,L,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
320978 Clip 1,320978,first,1-BaseEvaluator_evaluations,Y,L,N/A,M,3,M,M,H,M,2,M,M,M,L,2,M,M,N/A,N/A,M,M,2,M,M,M,2,L,L,L,3,M,M,M,N/A,M,L,M
723288 Clip 1,723288,first,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,H,N/A,M,3,M,H,M,M,3,M,M,N/A,3,M,M,2,M,M,M,3,L,L,L,3,M,M,M,N/A,N/A,L,N/A
723288 Clip 2,723288,last,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,N/A,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,2,L,L,M,1,M,M,M,N/A,M,M,M
1422534 Clip 2,1422534,last,1-BaseEvaluator_evaluations,Y,H,Y,H,3,M,L,N/A,M,N/A,L,M,M,L,N/A,L,N/A,M,2,M,N/A,2,L,L,M,2,L,L,L,N/A,M,M,M,N/A,M,M,N/A
1126747 Clip 1,1126747,first,1-BaseEvaluator_evaluations,Y,H,N/A,H,3,H,L,N/A,M,3,M,M,M,M,3,M,M,M,2,M,H,2,M,M,H,3,M,N/A,L,3,M,N/A,M,N/A,L,N/A,N/A
1597251 Clip 1,1597251,first,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,N/A,M,3,H,M,M,L,3,M,M,N/A,3,M,M,2,M,M,M,2,M,L,L,3,M,L,M,2,L,L,M
1597251 Clip 2,1597251,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,M,L,N/A,M,1,M,M,L,L,1,N/A,L,M,1,L,N/A,N/A,L,L,M,2,L,L,L,1,M,L,M,1,L,M,L
383760 Clip 2,383760,last,1-BaseEvaluator_evaluations,Y,N/A,Y,M,3,M,L,M,M,2,M,M,M,M,2,L,L,M,3,M,M,2,M,M,L,2,L,L,L,2,M,L,M,1,M,L,L
383760 Clip 1,383760,first,1-BaseEvaluator_evaluations,Y,N/A,N/A,N/A,3,M,M,M,M,3,H,M,M,N/A,3,M,M,N/A,N/A,M,N/A,2,M,L,L,2,M,L,L,2,M,M,N/A,N/A,N/A,L,M
389163 Clip 1,389163,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,N/A,M,2,L,M,M,M,3,M,M,N/A,N/A,M,N/A,2,M,M,M,3,M,M,M,2,M,M,M,N/A,M,L,M
389817 Clip 2,389817,last,1-BaseEvaluator_evaluations,Y,H,Y,H,3,M,L,N/A,M,2,L,M,M,N/A,3,L,L,N/A,2,M,M,2,L,L,L,1,L,L,L,N/A,N/A,N/A,M,N/A,N/A,L,N/A
447789 Clip 1,447789,first,1-BaseEvaluator_evaluations,N,H,N/A,N/A,3,H,M,N/A,M,1,N/A,N/A,L,L,N/A,L,L,N/A,N/A,M,N/A,1,M,L,N/A,1,L,M,M,2,M,M,M,1,M,L,M
444869 Clip 2,444869,last,1-BaseEvaluator_evaluations,Y,N/A,N/A,N/A,3,M,L,M,M,2,M,M,M,M,2,M,M,M,2,M,M,2,L,L,L,1,L,L,L,2,M,N/A,M,N/A,L,L,M
447268 Clip 1,447268,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,H,M,2,M,M,M,L,3,M,M,M,3,H,M,2,M,M,H,4,M,N/A,L,3,M,M,H,3,M,N/A,H
556704 Clip 1,556704,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,N/A,M,3,M,M,M,M,2,M,M,N/A,2,M,M,N/A,M,M,M,3,L,L,M,3,M,N/A,H,N/A,M,L,M
556704 Clip 2,556704,last,1-BaseEvaluator_evaluations,Y,M,Y,N/A,3,M,M,M,M,2,L,L,L,M,1,N/A,L,M,2,M,L,2,L,L,L,2,L,M,L,2,M,M,M,N/A,M,M,M
588111 Clip 2,588111,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,N/A,H,M,3,M,M,M,M,3,M,M,M,3,M,M,3,M,M,H,3,M,H,M,1,M,M,H,N/A,M,N/A,M
588111 Clip 1,588111,first,1-BaseEvaluator_evaluations,N,L,N/A,N/A,3,M,L,N/A,M,2,M,M,M,N/A,3,L,L,N/A,1,M,N/A,1,L,M,N/A,1,L,M,M,2,M,N/A,N/A,2,L,L,M
652768 Clip 2,652768,last,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,M,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
784199 Clip 1,784199,first,1-BaseEvaluator_evaluations,N/A,H,Y,N/A,3,H,M,N/A,M,2,L,M,M,N/A,3,M,M,N/A,3,M,M,2,M,M,M,2,L,L,L,2,M,M,N/A,N/A,L,L,N/A
1109818 Clip 1,1109818,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,M,M,N/A,M,3,M,M,M,M,3,M,M,N/A,N/A,M,N/A,N/A,M,M,M,2,L,L,L,N/A,N/A,N/A,N/A,1,L,L,L
1109818 Clip 2,1109818,last,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,N/A,M,3,M,M,M,L,3,L,M,M,3,M,M,2,M,M,M,2,L,L,L,1,M,M,M,1,M,L,L
207258 Clip 1,207258,first,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,N/A,M,2,M,M,M,L,2,M,M,N/A,3,M,M,2,M,M,M,3,L,L,L,2,M,L,M,N/A,L,N/A,M
232512 Clip 1,232512,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,N/A,N/A,M,3,M,M,M,M,3,M,M,N/A,3,M,M,2,M,M,M,3,L,L,L,2,M,N/A,M,2,N/A,N/A,M
408856 Clip 2,408856,last,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
233692 Clip 1,233692,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,M,M,2,M,M,M,M,2,M,L,M,N/A,M,M,2,L,L,M,1,M,L,L,N/A,M,L,M,1,M,M,M
410712 Clip 1,410712,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,M,N/A,M,2,H,M,M,L,2,M,M,M,3,M,M,2,M,M,M,2,L,L,L,N/A,M,M,H,2,M,M,M
486621 Clip 2,486621,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,N/A,M,3,N/A,N/A,M,N/A,2,M,L,N/A,N/A,M,N/A,2,M,M,L,2,L,L,L,N/A,M,L,N/A,1,L,L,L
410712 Clip 2,410712,last,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,H,N/A,M,3,H,M,M,M,3,M,M,M,3,M,M,2,M,L,M,3,M,M,H,3,M,M,M,N/A,M,M,M
587147 Clip 1,587147,first,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,N/A,M,2,M,M,M,M,3,M,M,N/A,2,M,M,2,M,M,L,3,M,N/A,M,2,M,N/A,M,N/A,M,L,N/A
587147 Clip 2,587147,last,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,M,M,2,M,M,M,M,3,M,M,M,3,M,M,N/A,M,M,M,2,L,M,H,2,M,N/A,N/A,2,M,M,M
688242 Clip 2,688242,last,1-BaseEvaluator_evaluations,Y,N/A,N/A,N/A,2,M,L,N/A,N/A,1,L,L,L,L,2,N/A,N/A,M,N/A,M,L,2,L,N/A,L,1,L,L,L,N/A,M,L,M,N/A,N/A,M,L
818856 Clip 1,818856,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,H,N/A,M,2,H,M,M,N/A,3,M,M,M,3,M,M,2,H,M,M,3,M,L,M,2,M,M,H,3,M,M,M
292714 Clip 1,292714,first,1-BaseEvaluator_evaluations,N,H,N/A,N/A,3,H,H,N/A,M,2,L,N/A,M,L,N/A,M,M,N/A,3,M,N/A,2,M,M,N/A,3,M,M,L,3,M,N/A,N/A,N/A,M,M,M
292714 Clip 2,292714,last,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,N/A,M,3,M,M,M,N/A,3,M,M,M,3,M,M,2,M,L,M,3,M,N/A,M,3,M,M,M,N/A,M,M,H
292730 Clip 1,292730,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,M,M,2,M,M,M,M,3,M,M,M,3,M,N/A,1,M,L,M,2,M,L,L,1,M,L,M,N/A,M,M,M
425983 Clip 2,425983,last,1-BaseEvaluator_evaluations,Y,L,N/A,N/A,3,M,L,N/A,N/A,N/A,L,N/A,N/A,N/A,1,N/A,N/A,M,N/A,L,N/A,1,L,L,N/A,N/A,N/A,L,L,N/A,N/A,L,M,N/A,N/A,M,M
515916 Clip 1,515916,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,M,M,M,2,M,M,M,M,3,M,M,M,3,M,M,3,L,M,M,2,M,M,M,3,M,M,M,2,M,M,M
541433 Clip 1,541433,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,N/A,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,L,L,M,2,N/A,N/A,N/A,N/A,M,M,M
596775 Clip 2,596775,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,H,M,3,M,M,M,L,3,M,M,M,3,H,M,2,M,M,H,4,M,L,N/A,3,M,M,H,N/A,H,N/A,M
624247 Clip 1,624247,first,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
596775 Clip 1,596775,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,M,N/A,M,3,H,H,M,M,3,M,M,N/A,N/A,M,M,2,M,M,M,3,M,L,L,3,M,M,M,1,M,N/A,M
1176106 Clip 1,1176106,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,M,N/A,M,2,M,M,M,L,2,L,M,N/A,N/A,M,M,2,M,L,M,2,L,M,L,N/A,M,M,N/A,2,N/A,N/A,M
1176106 Clip 2,1176106,last,1-BaseEvaluator_evaluations,Y,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,L,N/A,M,L,N/A,M,M,N/A,N/A,M,N/A,1,M,M,N/A,3,N/A,N/A,N/A,2,M,N/A,N/A,N/A,N/A,N/A,L
1551092 Clip 2,1551092,last,1-BaseEvaluator_evaluations,Y,N/A,Y,M,3,H,M,N/A,M,3,M,M,M,M,2,L,M,M,3,M,M,2,M,L,M,3,M,H,M,2,M,L,M,2,M,M,N/A
1551092 Clip 1,1551092,first,1-BaseEvaluator_evaluations,Y,M,Y,M,3,H,L,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,L,L,M,2,M,N/A,M,2,M,N/A,N/A
712950 Clip 1,712950,first,1-BaseEvaluator_evaluations,Y,H,N/A,H,3,M,L,N/A,M,2,M,M,M,L,3,M,M,N/A,3,M,M,2,M,M,M,3,L,L,L,2,M,L,M,3,L,L,M
379859 Clip 1,379859,first,1-BaseEvaluator_evaluations,Y,M,Y,M,3,M,M,M,M,2,M,L,M,L,2,M,M,M,2,M,M,2,M,M,M,3,M,M,H,1,M,M,M,N/A,M,M,M
381855 Clip 1,381855,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,M,M,2,M,M,M,M,3,M,H,H,3,M,M,N/A,M,M,M,3,M,M,H,3,M,L,M,N/A,M,M,M
382242 Clip 1,382242,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,H,H,M,2,M,M,M,M,3,M,H,H,3,M,M,3,M,M,M,3,M,H,M,3,M,M,M,N/A,M,M,M
382242 Clip 2,382242,last,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,H,M,M,3,M,M,M,M,3,M,M,M,3,H,M,2,M,M,H,4,M,M,H,3,M,M,H,N/A,M,H,M
420703 Clip 2,420703,last,1-BaseEvaluator_evaluations,Y,N/A,Y,M,3,H,M,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,L,M,3,M,M,M,N/A,M,M,M
428953 Clip 1,428953,first,1-BaseEvaluator_evaluations,Y,M,Y,H,3,H,H,M,M,2,M,H,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,M,M,3,M,M,M,3,M,M,M
428953 Clip 2,428953,last,1-BaseEvaluator_evaluations,Y,N/A,Y,M,3,M,M,M,M,3,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,L,M,3,M,N/A,M,N/A,M,N/A,M
808147 Clip 1,808147,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,M,M,H,M,1,L,L,L,L,2,M,L,M,2,M,N/A,2,L,L,M,2,L,L,M,2,M,M,M,1,M,M,M
829457 Clip 2,829457,last,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
808147 Clip 2,808147,last,1-BaseEvaluator_evaluations,Y,M,Y,M,3,M,L,N/A,M,2,L,M,L,L,2,M,M,M,2,M,L,2,L,M,M,3,L,L,L,2,N/A,L,M,N/A,L,L,L
829457 Clip 1,829457,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,H,M,M,3,M,M,H,M,3,M,M,M,3,M,M,3,M,M,M,3,M,M,M,3,M,M,M,N/A,M,M,M
268367 Clip 2,268367,last,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
268367 Clip 1,268367,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,4,H,H,H,M,4,M,H,H,M,2,M,M,H,3,M,M,2,M,M,M,3,M,M,H,3,M,H,H,N/A,M,M,M
268516 Clip 2,268516,last,1-BaseEvaluator_evaluations,Y,M,Y,M,3,M,M,M,M,3,M,M,M,M,3,M,M,M,2,M,M,2,L,M,M,1,M,M,M,2,M,L,M,2,M,M,M
690867 Clip 1,690867,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,M,M,2,H,M,H,M,3,M,M,M,3,M,M,2,M,M,M,3,M,M,M,3,M,N/A,H,2,M,M,M
269779 Clip 2,269779,last,1-BaseEvaluator_evaluations,Y,M,Y,M,3,M,M,M,M,2,M,M,M,M,2,M,L,M,3,M,M,2,M,L,M,2,L,L,M,2,M,M,M,1,M,M,M
269779 Clip 1,269779,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,M,M,M,M,2,M,M,M,M,2,M,M,M,3,M,M,2,M,M,M,3,M,M,H,3,M,M,H,N/A,M,M,M
269860 Clip 2,269860,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,M,M,N/A,M,M,M,L,3,M,M,H,2,M,M,2,M,M,M,3,M,L,H,3,M,M,H,1,M,M,M
269910 Clip 1,269910,first,1-BaseEvaluator_evaluations,Y,N/A,Y,H,3,H,M,H,M,3,M,H,M,M,3,M,M,M,3,M,M,2,M,M,M,2,M,L,M,3,M,M,H,N/A,M,N/A,N/A
269910 Clip 2,269910,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,H,M,2,L,M,L,L,2,L,L,M,3,M,M,2,L,L,L,1,L,L,L,1,M,M,H,N/A,N/A,L,L
351775 Clip 2,351775,last,1-BaseEvaluator_evaluations,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
357848 Clip 2,357848,last,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,H,M,3,M,M,M,M,2,M,M,M,3,M,M,2,M,M,M,3,M,L,M,2,M,M,H,N/A,M,M,M
512160 Clip 2,512160,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,M,M,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,L,L,L,1,L,L,M,2,M,M,N/A
746602 Clip 2,746602,last,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,M,M,N/A,M,2,L,M,M,L,3,L,L,M,3,M,M,2,M,L,M,2,L,L,L,1,M,M,M,1,M,M,M
838565 Clip 2,838565,last,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,L,N/A,M,2,L,M,M,M,3,M,M,N/A,3,M,M,2,M,L,L,1,L,L,L,3,M,N/A,M,N/A,N/A,L,N/A
351775 Clip 1,351775,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,M,L,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,L,L,M,3,M,M,H,N/A,M,M,M
1164664 Clip 1,1164664,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,H,M,3,H,M,M,L,2,M,M,N/A,3,M,M,2,M,M,M,3,M,L,M,3,M,M,H,2,M,M,M
208751 Clip 2,208751,last,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,H,H,M,3,M,M,M,M,2,M,M,M,3,M,H,2,M,M,M,3,L,L,M,2,M,N/A,H,2,M,M,M
1164664 Clip 2,1164664,last,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,H,M,2,L,M,M,L,3,M,L,H,3,M,M,2,M,M,M,4,L,L,L,2,M,L,M,N/A,M,M,N/A
1166503 Clip 1,1166503,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,N/A,M,3,H,M,H,M,2,M,M,N/A,3,M,M,2,M,M,M,3,H,L,H,3,M,M,H,3,M,H,M
758128 Clip 1,758128,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,H,M,M,3,M,M,M,L,2,M,M,M,2,M,M,2,M,M,M,3,M,L,M,2,M,M,M,2,M,M,M
758128 Clip 2,758128,last,1-BaseEvaluator_evaluations,Y,M,Y,L,3,M,L,M,M,2,M,L,L,M,2,L,M,M,2,M,M,1,M,L,M,2,L,L,L,2,M,N/A,M,1,M,M,M
263442 Clip 1,263442,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,H,H,M,3,H,M,H,M,3,M,M,M,3,H,M,3,H,M,M,4,H,H,H,3,M,M,M,2,H,H,M
