base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,The teacher adjusts teaching to the level of students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills,Students collaborate with one another
587147,last,BaseEvaluator,Y,N/A,Y,N/A,3,M,M,M,M,3,M,L,M,M,3,L,M,L,3,M,M,3,M,L,M,2,L,M,H,N/A,N/A,L,M,2,M,M,M,M
688242,last,BaseEvaluator,Y,N/A,Y,N/A,2,M,L,N/A,N/A,1,L,L,L,L,3,N/A,L,M,N/A,L,N/A,1,L,N/A,L,N/A,L,L,L,N/A,N/A,L,M,N/A,N/A,M,N/A,M
818856,first,BaseEvaluator,Y,H,Y,H,3,H,M,N/A,M,3,H,M,M,M,3,M,M,M,3,H,M,2,M,M,M,3,L,L,L,3,M,M,H,2,M,N/A,M,M
292714,last,BaseEvaluator,Y,N/A,Y,M,3,H,H,H,M,3,M,H,M,L,3,M,M,M,3,M,M,2,M,M,M,3,M,L,M,N/A,M,M,M,N/A,M,M,H,H
292714,first,BaseEvaluator,Y,H,N/A,N/A,4,H,H,N/A,M,2,L,N/A,L,L,N/A,M,M,N/A,3,M,N/A,2,L,M,N/A,2,M,M,M,3,N/A,M,N/A,1,M,L,M,M
292730,first,BaseEvaluator,Y,N/A,Y,M,3,M,L,M,M,2,M,M,M,M,3,M,M,N/A,3,L,M,2,L,L,M,2,M,M,L,3,N/A,N/A,M,N/A,M,L,M,L
515916,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,H,M,2,M,M,M,L,3,M,L,M,3,M,M,2,L,L,M,2,L,L,M,3,M,M,M,N/A,M,M,M,M
425983,last,BaseEvaluator,Y,L,N/A,L,N/A,M,L,N/A,M,N/A,L,N/A,N/A,L,1,L,N/A,M,N/A,N/A,N/A,N/A,L,L,N/A,1,N/A,N/A,L,N/A,N/A,L,M,N/A,M,N/A,M,M
541433,first,BaseEvaluator,Y,N/A,Y,N/A,3,H,M,N/A,M,2,M,M,M,M,3,M,M,N/A,3,M,N/A,N/A,M,M,M,2,L,L,M,3,N/A,N/A,M,N/A,M,L,M,L
596775,first,BaseEvaluator,Y,N/A,Y,H,3,H,M,N/A,M,3,H,M,M,L,2,M,M,N/A,N/A,M,M,3,M,M,M,2,M,L,M,3,M,M,M,2,M,L,M,N/A
596775,last,BaseEvaluator,Y,N/A,Y,M,3,H,M,M,M,3,M,M,M,M,3,M,M,M,4,M,M,2,M,H,H,3,M,L,L,3,M,M,H,N/A,M,L,M,M
624247,first,BaseEvaluator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1176106,last,BaseEvaluator,Y,N/A,Y,N/A,3,M,L,N/A,N/A,2,N/A,N/A,M,N/A,2,M,M,M,N/A,N/A,N/A,N/A,M,M,N/A,3,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1176106,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,2,M,M,M,L,2,M,M,N/A,N/A,M,N/A,2,M,L,N/A,2,M,L,L,2,M,M,M,1,L,L,M,N/A
1551092,first,BaseEvaluator,Y,N/A,Y,N/A,3,M,L,M,M,2,M,M,L,L,3,M,M,N/A,3,M,M,2,M,M,M,2,M,L,M,2,M,M,M,1,L,L,N/A,M
486621,last,BaseEvaluator,Y,H,Y,H,3,H,M,N/A,M,3,N/A,L,L,L,2,M,L,N/A,1,L,N/A,2,M,M,L,2,L,L,L,N/A,M,L,M,N/A,N/A,L,L,N/A
1551092,last,BaseEvaluator,Y,N/A,Y,N/A,3,H,M,N/A,M,3,M,M,M,M,3,M,M,M,3,M,M,2,M,L,M,3,M,M,L,N/A,M,M,M,2,M,M,N/A,M
712950,first,BaseEvaluator,Y,N/A,N,N/A,2,H,L,N/A,M,2,M,M,M,L,2,M,M,N/A,3,M,M,2,M,M,M,3,M,M,M,2,M,L,M,2,M,L,M,L
379859,first,BaseEvaluator,Y,H,Y,N/A,3,M,M,M,M,2,L,L,M,L,2,L,L,M,3,L,L,2,M,M,H,2,M,M,M,1,M,M,M,N/A,M,M,M,M
381855,first,BaseEvaluator,Y,H,Y,M,3,H,H,M,M,3,M,M,H,L,2,M,M,M,3,H,M,2,M,M,M,4,M,L,H,3,N/A,M,M,N/A,M,M,M,H
382242,last,BaseEvaluator,Y,N/A,Y,H,4,H,H,H,M,4,M,M,H,M,3,M,H,H,4,M,M,3,M,M,H,3,M,N/A,H,1,M,M,H,N/A,M,M,M,N/A
382242,first,BaseEvaluator,Y,H,Y,N/A,3,H,H,M,M,2,M,H,M,M,3,M,M,M,3,M,H,3,M,M,M,4,M,L,M,3,N/A,M,M,2,M,M,M,H
420703,last,BaseEvaluator,Y,N/A,Y,L,3,H,M,M,M,2,M,L,L,M,3,M,M,M,3,M,M,2,M,M,M,3,M,M,M,2,M,M,M,N/A,M,M,M,M
428953,first,BaseEvaluator,Y,H,Y,N/A,3,H,H,M,M,3,M,H,H,N/A,2,M,M,N/A,3,M,M,2,M,M,H,3,M,M,L,3,N/A,M,H,N/A,M,L,M,N/A
428953,last,BaseEvaluator,Y,M,Y,M,3,M,M,M,M,3,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,L,L,2,M,N/A,M,N/A,M,L,M,L
808147,first,BaseEvaluator,Y,H,Y,N/A,3,M,M,M,N/A,1,L,L,L,L,2,L,L,M,N/A,L,M,2,L,L,N/A,2,L,L,M,N/A,M,M,N/A,N/A,M,M,M,M
808147,last,BaseEvaluator,Y,M,Y,L,3,M,M,M,M,2,L,L,L,L,3,M,M,M,3,M,L,1,M,M,L,2,L,L,L,N/A,M,L,M,N/A,L,L,M,L
829457,first,BaseEvaluator,Y,H,Y,M,3,H,H,M,M,2,M,M,M,M,3,M,M,M,3,M,M,3,M,M,M,3,M,M,M,3,M,M,M,3,M,M,M,M
829457,last,BaseEvaluator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
268367,first,BaseEvaluator,Y,H,Y,H,3,H,H,H,M,3,M,M,M,M,3,M,M,H,3,H,N/A,3,M,M,H,4,M,M,M,3,M,M,H,N/A,M,M,M,H
268367,last,BaseEvaluator,N/A,M,N/A,M,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
268516,last,BaseEvaluator,Y,M,Y,M,3,H,M,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,L,M,2,M,M,L,3,M,L,M,2,L,L,M,L
690867,first,BaseEvaluator,Y,H,Y,M,3,H,M,H,M,2,H,M,M,M,2,M,M,M,3,M,M,2,M,M,M,2,M,M,M,1,M,M,M,3,M,M,M,M
269779,first,BaseEvaluator,Y,H,Y,M,3,H,M,M,M,2,M,M,M,L,3,M,M,M,3,M,M,2,M,M,M,2,L,L,H,3,M,M,M,N/A,M,M,M,M
269779,last,BaseEvaluator,Y,L,Y,M,3,M,H,M,M,1,M,L,L,L,1,M,L,M,2,M,N/A,2,L,L,M,2,L,L,H,2,M,M,M,N/A,M,M,M,M
269860,last,BaseEvaluator,Y,N/A,Y,N/A,3,H,H,M,M,2,M,L,M,L,3,M,M,M,3,M,L,2,M,L,M,3,M,L,M,3,M,M,H,N/A,M,L,M,M
269910,first,BaseEvaluator,Y,H,Y,H,3,H,H,H,M,2,L,M,M,L,3,M,M,M,3,M,M,2,M,M,M,2,M,L,M,3,M,M,M,N/A,L,L,M,L
269910,last,BaseEvaluator,Y,N/A,Y,N/A,3,H,M,N/A,M,2,L,L,L,L,2,L,L,M,2,M,M,2,L,L,L,2,L,L,L,N/A,M,M,M,N/A,N/A,L,L,N/A
351775,last,BaseEvaluator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
351775,first,BaseEvaluator,Y,M,Y,N/A,3,H,M,M,M,3,M,M,M,M,2,M,M,M,3,M,M,2,M,M,M,2,M,L,M,2,M,M,M,N/A,M,M,M,L
357848,last,BaseEvaluator,Y,N/A,Y,M,3,H,M,M,M,4,M,M,M,M,3,M,M,M,4,M,M,3,M,M,M,3,L,L,M,N/A,N/A,N/A,M,N/A,M,M,L,M
512160,last,BaseEvaluator,Y,N/A,Y,N/A,3,M,M,N/A,M,2,M,M,L,M,3,M,M,M,3,M,M,3,M,M,M,2,L,L,L,2,M,L,M,N/A,M,L,L,N/A
746602,last,BaseEvaluator,Y,M,Y,H,3,M,M,N/A,M,2,L,M,L,L,3,L,L,H,3,M,M,2,L,L,M,2,L,L,L,N/A,M,L,M,1,M,M,L,M
838565,last,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,2,L,M,M,M,2,M,L,N/A,3,M,M,2,M,M,M,3,L,L,L,2,M,L,M,N/A,N/A,L,L,N/A
208751,last,BaseEvaluator,Y,H,Y,H,3,H,M,H,M,2,M,M,M,L,3,M,M,M,3,M,M,2,M,M,M,3,L,L,M,2,M,M,M,2,M,M,M,M
1164664,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,3,M,M,M,L,2,M,M,N/A,3,M,M,2,M,M,M,3,M,L,L,3,M,M,M,N/A,M,L,M,N/A
1164664,last,BaseEvaluator,Y,N/A,Y,N/A,3,M,M,M,M,2,L,L,L,L,3,M,M,H,3,M,M,2,L,M,N/A,3,L,L,M,N/A,L,L,M,N/A,M,M,L,M
1166503,first,BaseEvaluator,Y,H,Y,N/A,3,H,H,N/A,M,2,H,M,M,M,3,M,M,N/A,3,H,M,2,M,M,M,3,M,L,L,3,M,M,N/A,3,M,M,M,L
758128,first,BaseEvaluator,Y,H,Y,H,3,H,M,M,M,3,M,M,M,L,2,M,M,M,3,M,M,3,M,M,M,3,M,L,M,2,M,M,H,2,M,L,M,N/A
758128,last,BaseEvaluator,Y,L,Y,L,3,M,M,M,M,2,M,L,L,L,2,L,M,M,3,M,M,1,M,L,M,2,L,L,M,N/A,M,M,M,1,L,M,M,M
263442,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,H,M,3,H,M,M,M,3,M,M,M,3,M,M,2,M,M,H,3,M,H,H,3,M,M,M,3,M,H,M,H
263673,last,BaseEvaluator,Y,N/A,Y,N/A,3,M,L,N/A,M,2,L,M,L,L,2,L,L,N/A,1,L,N/A,N/A,L,L,L,1,L,L,L,N/A,M,L,N/A,1,L,L,N/A,N/A
263772,first,BaseEvaluator,Y,H,Y,H,3,H,M,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,L,L,1,N/A,M,M,N/A,M,L,M,L
455840,last,BaseEvaluator,Y,N/A,Y,M,3,H,H,H,M,2,M,M,L,M,3,M,M,M,3,M,M,2,M,M,M,3,M,L,H,3,M,N/A,M,N/A,M,M,M,M
515650,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,3,M,M,M,L,3,M,M,M,2,M,N/A,2,M,L,H,2,M,L,M,3,M,L,H,2,M,M,M,M
515650,last,BaseEvaluator,Y,H,Y,M,3,H,H,N/A,M,2,L,M,L,M,2,M,L,M,2,M,L,2,M,M,M,3,M,L,H,2,M,M,M,1,M,M,M,L
860783,last,BaseEvaluator,Y,N/A,Y,M,3,H,M,N/A,M,2,M,M,M,L,2,M,M,M,3,M,M,3,M,M,M,2,L,L,M,2,M,M,M,N/A,M,L,M,L
661033,first,BaseEvaluator,Y,H,Y,H,3,H,M,N/A,M,4,H,H,H,M,3,M,M,N/A,3,M,M,3,M,M,M,3,M,N/A,M,2,N/A,M,M,2,M,M,M,N/A
661033,last,BaseEvaluator,Y,N/A,N/A,N/A,1,L,M,N/A,N/A,1,L,L,L,L,1,L,L,L,N/A,L,N/A,N/A,L,L,L,1,L,L,L,N/A,L,L,L,1,L,L,L,L
