School_Clip,base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Teacher provides learning activity - 3rd Snapshot,Students are on task - 3rd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Positive Behavioral Expectations,The teacher sets clear behavioral expectations,The teacher acknowledges positive student behavior,The teacher redirects misbehavior,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills
226480 Clip 1,226480,first,BaseEvaluator-Validate,Y,N/A,Y,M,Y,M,4,H,M,H,M,3,M,M,H,3,M,M,M,L,3,M,M,L,M,M,M,M,M,M,3,M,H,L,3,N/A,M,H,1,M,L,M
226480 Clip 2,226480,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,4,M,N/A,N/A,N/A,N/A,L,L,N/A,N/A,L,N/A,L,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,L,N/A,N/A,L,N/A,1,N/A,L,N/A
306753 Clip 1,306753,first,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,3,H,N/A,H,N/A,3,L,N/A,M,N/A,L,N/A,L,L,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,L,L,L,N/A,N/A,L,N/A,1,N/A,L,N/A
306753 Clip 2,306753,last,BaseEvaluator-Validate,Y,L,Y,L,Y,L,4,L,L,H,M,1,L,L,H,3,L,M,L,L,3,N/A,N/A,M,M,M,M,L,N/A,M,3,L,L,H,2,M,L,L,1,L,L,M
312793 Clip 1,312793,first,BaseEvaluator-Validate,Y,H,Y,H,Y,N/A,4,H,M,H,M,3,M,M,M,3,L,M,M,L,3,M,M,L,M,M,M,M,M,M,3,M,L,M,3,M,M,H,1,M,L,M
312793 Clip 2,312793,last,BaseEvaluator-Validate,Y,N/A,Y,M,Y,H,4,H,M,H,M,1,M,M,M,3,H,M,L,L,3,L,M,H,M,L,M,M,M,M,3,H,M,M,N/A,M,M,H,3,M,M,M
320978 Clip 1,320978,first,BaseEvaluator-Validate,Y,N/A,Y,L,Y,L,4,M,M,H,M,3,M,M,H,3,M,M,M,L,3,L,M,N/A,M,M,M,M,M,M,3,L,L,L,3,M,L,M,1,L,L,M
723288 Clip 1,723288,first,BaseEvaluator-Validate,Y,N/A,Y,H,Y,N/A,4,H,M,N/A,M,3,M,M,H,3,M,M,M,M,3,M,M,L,M,M,M,M,M,L,3,M,L,L,N/A,N/A,M,M,1,L,N/A,N/A
321356 Clip 1,321356,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,M,L,N/A,M,N/A,L,L,N/A,3,L,N/A,L,L,N/A,L,N/A,L,N/A,L,N/A,L,L,N/A,N/A,L,L,L,3,N/A,L,N/A,1,L,L,L
723288 Clip 2,723288,last,BaseEvaluator-Validate,Y,M,Y,M,Y,M,3,M,M,N/A,M,3,M,M,M,3,M,M,L,M,3,L,L,L,M,M,M,L,M,M,3,L,L,H,3,M,M,M,1,M,M,M
1126747 Clip 1,1126747,first,BaseEvaluator-Validate,Y,N/A,Y,H,Y,N/A,4,H,M,N/A,M,1,M,M,H,3,M,M,M,L,3,M,M,N/A,M,M,M,M,M,M,3,M,L,L,3,N/A,M,M,1,L,M,M
1422534 Clip 2,1422534,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,M,M,N/A,M,3,M,M,M,3,M,M,L,L,3,N/A,L,L,M,M,M,L,N/A,M,3,L,L,L,3,N/A,M,M,1,M,M,L
1597251 Clip 1,1597251,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,4,H,M,N/A,M,3,H,M,M,3,H,M,M,L,3,M,M,L,M,M,M,L,M,M,3,M,L,L,3,N/A,M,N/A,1,L,L,M
1597251 Clip 2,1597251,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,L,N/A,M,3,M,L,M,3,L,M,L,L,3,L,L,L,M,L,L,L,L,M,3,L,L,L,N/A,M,L,M,1,L,L,L
383760 Clip 1,383760,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,M,N/A,M,3,H,M,M,3,M,M,M,L,3,M,M,L,M,L,M,M,L,M,3,M,L,L,3,N/A,M,M,1,L,L,M
383760 Clip 2,383760,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,M,3,H,L,M,M,3,M,L,M,2,M,M,L,L,3,L,M,L,M,M,L,M,M,M,3,L,L,L,3,N/A,L,M,1,L,M,M
389163 Clip 1,389163,first,BaseEvaluator-Validate,Y,N/A,Y,H,Y,N/A,5,H,M,N/A,M,3,H,M,M,3,M,M,M,M,3,M,M,L,M,M,M,M,M,M,3,M,M,M,3,N/A,M,H,1,L,M,M
389817 Clip 2,389817,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,4,H,L,N/A,M,N/A,L,L,N/A,3,L,M,M,L,3,L,M,N/A,M,M,M,L,L,M,3,L,L,L,1,N/A,L,M,1,L,L,L
444869 Clip 2,444869,last,BaseEvaluator-Validate,Y,M,Y,L,Y,L,4,H,L,H,M,1,N/A,L,M,3,M,L,M,M,3,M,M,L,M,M,L,L,L,L,3,L,M,L,3,M,L,L,1,L,L,L
447268 Clip 1,447268,first,BaseEvaluator-Validate,Y,N/A,Y,M,Y,N/A,4,H,M,H,M,3,M,M,H,3,M,M,H,L,3,M,H,L,M,M,M,M,M,M,3,M,L,H,3,H,M,H,3,M,L,H
447789 Clip 1,447789,first,BaseEvaluator-Validate,N/A,N/A,Y,N/A,N/A,N/A,4,H,M,N/A,M,3,M,L,M,3,L,N/A,L,L,1,L,L,L,M,L,M,L,N/A,L,1,L,L,M,3,L,L,M,1,L,L,M
556704 Clip 1,556704,first,BaseEvaluator-Validate,Y,M,Y,M,Y,N/A,4,H,M,N/A,M,3,H,M,H,3,M,M,M,M,3,M,M,L,M,L,M,M,M,L,3,M,L,L,3,M,L,H,3,L,L,M
556704 Clip 2,556704,last,BaseEvaluator-Validate,Y,M,Y,L,Y,L,4,H,M,M,M,3,M,L,M,3,L,L,L,L,1,N/A,M,M,M,L,M,L,N/A,M,1,L,M,L,3,M,M,H,1,M,M,M
588111 Clip 1,588111,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,4,H,M,N/A,M,3,M,M,M,3,M,M,L,L,3,M,L,L,M,L,M,L,L,M,3,M,M,M,3,N/A,L,M,3,L,N/A,M
652768 Clip 2,652768,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,Y,N/A,3,H,L,N/A,M,3,M,L,M,N/A,L,N/A,L,L,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,L,L,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A
588111 Clip 2,588111,last,BaseEvaluator-Validate,Y,N/A,Y,M,Y,M,4,H,M,H,M,3,M,M,H,3,M,M,M,M,3,L,M,L,M,M,M,M,M,M,3,M,M,H,3,M,M,H,1,M,L,M
784199 Clip 1,784199,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,M,N/A,M,2,L,M,N/A,3,M,M,M,L,3,L,M,L,M,L,M,M,M,M,3,M,L,L,3,N/A,M,H,1,L,L,L
1109818 Clip 1,1109818,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,L,N/A,M,N/A,L,L,N/A,3,M,M,M,L,3,M,M,L,M,L,L,M,L,M,3,L,L,L,3,N/A,L,M,1,L,L,N/A
1109818 Clip 2,1109818,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,4,H,M,N/A,M,1,M,M,N/A,3,M,M,M,L,3,M,L,L,M,M,M,L,M,M,3,L,L,L,1,M,M,M,1,L,L,L
207258 Clip 1,207258,first,BaseEvaluator-Validate,Y,N/A,Y,M,Y,N/A,4,H,M,N/A,M,3,M,M,M,3,L,M,M,L,3,M,M,L,M,M,M,M,M,M,3,L,L,H,3,M,L,H,1,L,L,M
232512 Clip 1,232512,first,BaseEvaluator-Validate,Y,H,Y,H,Y,N/A,4,H,H,N/A,M,3,M,M,M,3,M,M,M,L,3,L,M,L,M,L,M,M,M,M,3,M,M,H,3,N/A,L,H,1,L,L,M
233692 Clip 1,233692,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,4,H,M,H,M,3,M,L,M,3,M,M,L,L,3,L,M,M,M,M,L,L,L,M,3,L,L,L,N/A,N/A,M,H,1,M,M,L
408856 Clip 2,408856,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,L,N/A,N/A,L,N/A,L,L,N/A,N/A,N/A,L,N/A,L,N/A,L,N/A,N/A,N/A,L,L,N/A,N/A,N/A,N/A,N/A,1,N/A,L,N/A
410712 Clip 1,410712,first,BaseEvaluator-Validate,Y,N/A,Y,H,Y,N/A,3,H,M,N/A,M,3,M,M,M,3,H,M,M,L,3,L,M,N/A,M,M,M,M,M,M,3,L,L,L,1,N/A,M,M,3,M,M,L
410712 Clip 2,410712,last,BaseEvaluator-Validate,Y,N/A,Y,H,Y,N/A,5,H,M,N/A,M,3,M,M,N/A,3,M,M,M,M,3,M,M,L,M,M,M,M,M,M,3,M,M,H,3,M,M,H,3,M,M,M
486621 Clip 2,486621,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,M,N/A,M,2,L,M,N/A,3,M,M,M,L,3,L,M,L,M,L,M,M,M,M,3,L,L,L,2,M,M,N/A,1,L,L,L
487124 Clip 1,487124,first,BaseEvaluator-Validate,Y,N/A,N/A,N/A,Y,N/A,4,M,L,N/A,M,1,L,L,M,3,L,L,M,L,3,L,M,N/A,M,M,M,L,M,M,3,L,L,L,N/A,N/A,L,M,1,L,L,M
587147 Clip 1,587147,first,BaseEvaluator-Validate,Y,H,Y,M,N/A,N/A,4,H,M,N/A,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,M,M,M,M,3,M,L,M,3,N/A,L,H,1,L,L,M
587147 Clip 2,587147,last,BaseEvaluator-Validate,Y,N/A,Y,L,Y,M,4,H,M,H,M,3,M,M,M,3,M,M,L,M,3,L,M,M,M,M,M,L,L,M,3,M,L,H,N/A,H,L,M,3,M,M,N/A
688242 Clip 2,688242,last,BaseEvaluator-Validate,Y,N/A,N/A,N/A,Y,N/A,3,M,N/A,N/A,M,3,L,L,N/A,3,L,L,L,M,3,N/A,N/A,N/A,M,L,L,L,N/A,L,N/A,L,L,N/A,N/A,N/A,L,M,1,M,M,L
818856 Clip 1,818856,first,BaseEvaluator-Validate,Y,M,Y,H,Y,N/A,4,H,H,N/A,M,3,M,M,H,3,H,M,M,L,3,M,M,L,M,M,M,M,M,M,3,M,L,H,3,M,M,M,3,M,L,H
292714 Clip 1,292714,first,BaseEvaluator-Validate,N/A,N/A,Y,M,Y,N/A,4,H,M,H,M,5,M,M,H,3,L,M,M,L,3,M,M,N/A,M,L,M,M,M,L,3,M,L,M,3,H,M,H,3,L,L,M
292730 Clip 1,292730,first,BaseEvaluator-Validate,Y,M,Y,M,Y,N/A,5,H,M,H,M,3,M,L,M,3,M,M,M,M,3,L,M,L,M,L,M,M,L,L,3,L,L,L,3,N/A,M,N/A,1,M,L,M
292714 Clip 2,292714,last,BaseEvaluator-Validate,Y,M,Y,H,Y,H,4,H,M,N/A,M,3,H,M,H,3,M,M,M,L,3,M,M,M,M,M,M,L,M,M,3,M,M,H,N/A,M,M,H,1,M,M,H
425983 Clip 2,425983,last,BaseEvaluator-Validate,Y,N/A,Y,M,Y,L,3,M,L,N/A,M,3,L,L,M,N/A,L,L,L,L,N/A,N/A,N/A,L,M,L,N/A,L,N/A,N/A,N/A,L,L,L,N/A,N/A,L,L,1,L,L,L
515916 Clip 1,515916,first,BaseEvaluator-Validate,Y,H,Y,M,Y,N/A,5,H,M,N/A,M,3,M,M,M,3,M,M,M,M,3,M,M,M,M,M,M,L,M,M,3,L,M,H,3,M,M,M,1,M,M,L
596775 Clip 1,596775,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,M,5,H,H,H,M,5,H,M,H,3,H,M,M,L,3,M,M,L,M,M,M,M,M,M,3,M,M,M,3,H,M,H,3,M,L,M
541433 Clip 1,541433,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,4,H,M,H,M,3,M,L,M,3,M,M,M,M,3,L,M,N/A,M,H,M,M,M,M,3,M,L,H,3,N/A,M,M,1,L,L,M
596775 Clip 2,596775,last,BaseEvaluator-Validate,Y,N/A,Y,M,Y,H,4,H,M,H,L,3,H,M,H,3,M,M,M,L,3,M,H,H,M,M,M,M,M,M,3,M,L,H,N/A,H,M,H,1,M,L,H
624247 Clip 1,624247,first,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,L,L,N/A,N/A,L,N/A,L,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,1,N/A,L,N/A
1176106 Clip 2,1176106,last,BaseEvaluator-Validate,Y,N/A,N/A,N/A,N/A,N/A,3,H,N/A,N/A,M,N/A,L,L,N/A,3,M,N/A,M,L,3,M,M,N/A,N/A,L,N/A,M,M,M,3,L,L,L,3,N/A,L,N/A,1,L,N/A,N/A
1176106 Clip 1,1176106,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,N/A,N/A,4,H,M,N/A,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,M,M,M,M,3,M,L,L,3,N/A,M,M,1,L,L,M
1551092 Clip 2,1551092,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,M,N/A,M,3,M,M,H,3,M,M,L,M,3,M,M,L,M,M,M,L,M,M,3,M,H,H,3,H,M,H,3,M,M,L
1551092 Clip 1,1551092,first,BaseEvaluator-Validate,Y,N/A,Y,M,Y,N/A,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,L,M,L,M,M,M,M,M,M,3,L,M,H,3,M,L,H,3,L,L,M
712950 Clip 1,712950,first,BaseEvaluator-Validate,Y,N/A,Y,H,Y,N/A,3,H,L,N/A,M,3,M,L,M,3,M,M,M,L,3,L,M,L,M,M,M,M,M,M,3,M,M,L,3,N/A,L,N/A,3,L,L,M
379859 Clip 1,379859,first,BaseEvaluator-Validate,Y,L,Y,L,Y,L,4,M,M,M,M,3,M,M,M,3,M,M,M,L,3,L,M,L,M,M,M,M,M,M,3,M,M,L,3,M,M,L,1,M,M,M
382242 Clip 1,382242,first,BaseEvaluator-Validate,Y,H,Y,M,Y,H,5,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,H,H,M,M,M,M,M,3,M,M,M,3,M,M,H,1,M,M,M
381855 Clip 1,381855,first,BaseEvaluator-Validate,Y,M,Y,M,Y,N/A,5,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,H,M,M,M,M,M,M,3,M,M,H,3,N/A,M,H,1,M,M,N/A
382242 Clip 2,382242,last,BaseEvaluator-Validate,Y,M,Y,M,Y,L,5,H,H,H,M,3,M,M,M,3,M,M,M,H,3,M,H,H,M,H,M,M,M,M,3,M,H,H,3,M,M,H,1,M,M,H
420703 Clip 2,420703,last,BaseEvaluator-Validate,Y,M,Y,M,Y,L,5,H,M,H,M,3,L,M,M,3,M,M,M,M,3,L,M,H,M,M,M,L,M,M,3,L,M,H,3,H,M,H,1,M,M,M
428953 Clip 1,428953,first,BaseEvaluator-Validate,Y,M,Y,M,Y,M,5,H,M,M,M,5,M,M,H,3,M,M,M,L,3,M,M,H,H,M,M,M,M,M,3,M,M,H,3,N/A,M,M,1,M,N/A,M
428953 Clip 2,428953,last,BaseEvaluator-Validate,Y,M,Y,M,Y,L,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,M,M,M,M,M,M,M,3,M,L,H,3,N/A,M,M,1,M,L,M
808147 Clip 1,808147,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,M,M,H,M,3,L,M,M,3,L,L,L,L,3,L,L,L,M,N/A,M,L,L,M,3,L,L,L,3,M,M,M,1,M,M,M
808147 Clip 2,808147,last,BaseEvaluator-Validate,Y,L,Y,M,Y,L,4,H,M,N/A,M,3,L,M,M,3,L,L,M,L,3,M,M,L,M,M,L,M,M,M,3,L,L,H,3,N/A,L,H,1,L,L,L
829457 Clip 2,829457,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A
829457 Clip 1,829457,first,BaseEvaluator-Validate,Y,M,Y,M,Y,M,4,H,M,M,M,3,H,M,M,3,M,M,M,L,3,L,M,H,M,M,M,M,M,M,3,M,M,H,3,M,M,H,3,M,M,M
268367 Clip 2,268367,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,M,3,L,L,N/A,N/A,L,N/A,L,L,N/A,N/A,N/A,N/A,N/A,L,N/A,L,N/A,N/A,N/A,L,L,N/A,N/A,N/A,N/A,N/A,1,L,N/A,N/A
690867 Clip 1,690867,first,BaseEvaluator-Validate,Y,M,Y,N/A,Y,M,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,N/A,M,M,M,M,M,M,3,M,M,H,3,M,M,H,1,M,M,M
268516 Clip 2,268516,last,BaseEvaluator-Validate,Y,L,Y,L,Y,L,4,M,M,H,M,3,M,L,H,3,M,M,M,M,3,M,M,H,M,M,M,M,M,M,3,M,M,H,1,N/A,L,M,3,L,M,M
269779 Clip 1,269779,first,BaseEvaluator-Validate,Y,N/A,Y,M,Y,L,4,H,M,H,M,4,M,M,M,3,M,M,M,L,3,M,L,M,M,M,M,M,M,M,3,M,M,H,3,M,M,H,3,M,M,M
269860 Clip 2,269860,last,BaseEvaluator-Validate,Y,N/A,Y,L,Y,L,4,H,H,M,M,3,M,M,H,3,L,M,L,L,3,M,M,L,M,M,M,L,M,M,3,L,L,L,3,M,M,H,1,M,L,M
269779 Clip 2,269779,last,BaseEvaluator-Validate,Y,L,Y,L,Y,L,4,H,M,H,M,3,M,M,M,3,M,L,M,L,3,L,M,L,M,M,M,L,M,M,3,M,L,H,3,N/A,M,M,1,M,M,M
269910 Clip 1,269910,first,BaseEvaluator-Validate,Y,M,Y,H,Y,N/A,5,H,M,H,M,3,M,M,N/A,3,M,M,M,L,3,L,M,L,M,L,M,M,M,M,3,M,L,H,3,M,M,M,1,L,L,M
269910 Clip 2,269910,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,M,H,M,1,L,M,N/A,3,M,M,L,L,3,L,M,M,M,M,M,L,L,L,3,L,L,L,3,M,M,H,1,L,L,L
351775 Clip 1,351775,first,BaseEvaluator-Validate,Y,M,Y,M,Y,M,4,H,M,N/A,M,3,M,M,M,3,M,M,M,M,3,L,M,M,M,M,M,L,M,M,3,M,L,H,3,M,M,H,1,M,M,M
268367 Clip 1,268367,first,BaseEvaluator-Validate,Y,N/A,Y,H,Y,H,4,H,L,H,M,3,M,M,H,3,M,M,M,M,3,M,M,H,M,M,M,M,M,M,3,M,M,H,3,H,M,H,1,M,L,L
351775 Clip 2,351775,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,L,L,N/A,N/A,N/A,N/A,N/A,L,N/A,L,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,1,L,L,N/A
357848 Clip 2,357848,last,BaseEvaluator-Validate,Y,M,Y,M,Y,M,4,H,M,H,M,3,M,M,H,3,M,M,M,M,3,M,M,H,M,M,M,M,M,M,3,M,L,H,2,M,M,H,1,M,M,M
512160 Clip 2,512160,last,BaseEvaluator-Validate,Y,N/A,Y,M,Y,N/A,4,H,L,N/A,M,3,M,M,N/A,3,M,M,M,M,3,M,M,H,H,M,M,M,L,M,3,M,L,H,3,M,M,H,1,L,M,M
