School_Clip,base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Teacher provides learning activity - 3rd Snapshot,Students are on task - 3rd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Positive Behavioral Expectations,The teacher sets clear behavioral expectations,The teacher acknowledges positive student behavior,The teacher redirects misbehavior,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills
1126747 Clip 1,1126747,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,N,H,4,H,M,H,M,3,L,M,H,3,M,M,M,M,3,M,M,L,M,M,3,M,M,M,3,M,L,L,2,M,L,M,1,M,M,M
1422534 Clip 2,1422534,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,3,M,M,H,M,3,M,M,M,3,M,M,L,L,3,L,L,L,M,M,2,L,L,M,3,M,L,H,3,M,M,M,1,M,M,L
1597251 Clip 1,1597251,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,N,H,4,H,M,H,M,5,M,M,H,3,H,M,M,L,3,M,M,L,M,L,3,M,M,M,3,M,L,L,3,M,M,M,1,L,L,M
1597251 Clip 2,1597251,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,M,M,H,M,3,L,M,M,3,L,M,L,L,3,L,L,L,M,L,1,L,L,M,3,L,L,L,3,M,M,M,1,L,L,L
383760 Clip 1,383760,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,N,H,N,H,4,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,L,2,L,M,M,3,M,M,L,3,L,M,M,1,L,L,M
389817 Clip 2,389817,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,L,H,M,3,L,L,H,3,M,M,M,L,3,L,L,L,M,M,3,L,M,L,3,L,L,L,3,M,L,M,1,L,L,L
383760 Clip 2,383760,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,L,3,M,L,M,M,3,M,L,M,3,L,M,M,L,3,L,M,L,M,M,2,M,M,M,3,M,L,L,3,M,L,M,1,L,L,M
389163 Clip 1,389163,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,H,4,H,H,H,M,3,M,M,H,3,M,M,M,M,3,M,M,M,M,L,3,M,M,M,3,M,M,L,3,M,M,M,1,M,M,M
444869 Clip 2,444869,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,M,4,M,L,M,M,3,M,L,M,3,M,M,M,L,3,M,M,L,M,M,2,L,L,L,3,L,M,L,3,M,M,L,1,L,L,L
447789 Clip 1,447789,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,H,N,H,N,H,4,H,L,H,M,3,M,M,M,3,L,M,L,L,1,L,L,L,M,L,2,L,L,M,1,M,L,M,3,M,L,H,1,L,L,L
447268 Clip 1,447268,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,L,4,H,M,H,M,3,M,M,H,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,M,M,L,3,H,M,H,3,M,M,H
556704 Clip 1,556704,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,H,4,H,M,H,M,4,H,M,H,3,M,M,M,L,3,M,M,L,M,L,3,M,M,M,3,L,L,L,3,M,M,H,3,M,L,M
556704 Clip 2,556704,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,M,4,H,M,M,M,3,M,M,M,3,L,L,L,L,1,L,L,M,M,L,2,L,L,L,1,L,L,L,1,M,M,H,1,M,M,L
652768 Clip 2,652768,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,M,L,H,M,3,L,L,M,3,L,H,L,L,3,M,M,L,M,L,3,L,M,M,1,L,L,L,2,L,L,M,1,M,M,L
588111 Clip 1,588111,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,N,M,Y,M,4,H,M,H,M,3,M,M,M,3,M,M,L,L,3,M,L,L,M,L,1,L,L,M,1,M,M,M,3,M,M,M,3,L,L,M
588111 Clip 2,588111,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,M,H,H,M,3,M,M,H,3,M,M,M,M,3,M,M,H,M,M,3,M,M,M,3,M,H,H,3,M,H,M,1,H,M,M
784199 Clip 1,784199,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,N,H,4,H,M,L,M,1,L,M,M,3,L,M,M,L,3,L,M,L,M,M,3,M,M,M,3,L,L,L,3,M,M,M,1,L,L,M
1109818 Clip 1,1109818,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,L,Y,H,4,H,L,H,M,3,L,L,H,3,M,M,M,M,3,M,M,L,M,L,1,M,M,M,3,L,L,L,2,M,L,M,1,L,L,L
1109818 Clip 2,1109818,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,3,M,M,L,3,M,M,M,L,3,M,L,L,M,M,3,L,L,M,3,L,L,L,2,M,M,M,1,L,L,L
207258 Clip 1,207258,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,L,L,L,3,M,L,M,1,M,L,M
232512 Clip 1,232512,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,N,H,4,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,L,L,L,3,M,L,M,1,M,L,L
408856 Clip 2,408856,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,L,N,M,N,H,3,M,L,H,M,3,L,L,H,3,L,H,L,L,1,M,L,L,L,L,1,L,L,M,1,L,L,L,2,L,L,M,1,L,L,L
233692 Clip 1,233692,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,H,4,H,M,H,M,3,M,L,H,3,M,M,L,M,3,L,M,M,M,M,2,M,L,M,3,L,L,L,4,M,M,H,1,M,M,L
410712 Clip 1,410712,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,M,M,H,M,3,M,M,H,3,H,M,M,L,3,M,M,L,M,M,2,M,M,M,3,L,L,L,3,M,M,M,1,M,M,L
486621 Clip 2,486621,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,1,L,M,H,3,M,H,M,L,3,M,M,L,M,L,2,M,M,M,3,L,L,L,2,M,M,M,1,L,L,L
410712 Clip 2,410712,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,M,4,H,M,H,M,3,M,M,H,3,H,M,M,M,3,M,M,M,M,M,3,M,M,M,3,M,M,H,3,H,M,M,3,M,M,M
487124 Clip 1,487124,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,N,H,4,M,L,L,M,1,L,L,M,3,L,M,M,L,3,M,L,H,M,M,1,M,M,L,3,L,L,L,2,L,L,H,1,M,M,L
587147 Clip 1,587147,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,N,H,4,H,M,H,M,3,L,M,M,3,M,M,M,M,3,M,M,M,M,M,2,L,M,M,3,L,L,M,2,M,M,H,3,L,M,M
587147 Clip 2,587147,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,M,M,M,M,3,M,M,M,3,M,M,L,M,3,M,L,M,M,M,2,L,M,M,3,M,M,H,2,M,L,M,3,M,M,L
688242 Clip 2,688242,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,H,3,M,L,H,M,3,L,L,M,3,L,L,L,M,3,M,M,L,M,L,1,L,L,L,1,L,L,L,2,M,L,M,1,M,M,L
818856 Clip 1,818856,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,H,M,M,3,M,M,M,3,M,L,L,3,M,M,H,3,M,L,M
292714 Clip 1,292714,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,N,H,4,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,L,3,M,M,M,3,M,M,L,3,H,M,M,1,M,M,H
292730 Clip 1,292730,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,N,H,3,H,M,M,M,3,M,L,M,3,M,M,M,M,3,M,M,L,M,M,3,L,M,M,3,L,M,L,3,L,L,M,1,M,L,M
292714 Clip 2,292714,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,M,4,H,M,H,M,3,H,M,H,3,M,M,M,L,3,M,M,M,M,M,2,M,M,M,3,M,M,H,3,H,M,M,1,M,M,H
515916 Clip 1,515916,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,H,M,3,H,M,M,3,M,M,M,L,3,M,M,M,M,L,2,M,M,M,3,L,L,H,3,M,M,M,1,M,M,L
425983 Clip 2,425983,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,N,H,N,L,3,H,L,M,M,3,L,L,M,3,L,L,L,L,1,L,L,L,M,L,1,L,L,L,1,L,L,L,3,L,L,L,1,L,L,L
596775 Clip 1,596775,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,N,L,4,H,M,H,M,3,M,M,H,3,M,M,M,L,3,M,M,L,M,L,3,M,M,M,3,M,M,L,3,M,M,H,3,M,L,M
541433 Clip 1,541433,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,M,M,M,3,M,M,M,3,M,L,H,3,M,L,M,1,M,M,M
624247 Clip 1,624247,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,H,N,L,N,H,3,M,L,H,M,2,L,L,H,3,L,M,L,L,1,M,L,L,L,L,1,L,L,M,1,L,L,L,2,L,L,M,1,L,L,L
596775 Clip 2,596775,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,3,M,M,H,3,M,M,H,L,3,M,M,H,M,M,3,M,M,M,3,M,L,L,3,H,M,H,1,H,M,H
1176106 Clip 2,1176106,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,N,H,N,H,3,M,L,M,M,1,L,L,H,3,M,L,M,L,3,M,M,L,M,L,1,M,M,M,3,L,L,L,2,M,L,M,1,L,L,L
1176106 Clip 1,1176106,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,N,L,3,H,M,H,M,3,M,M,H,3,M,M,M,L,3,M,M,L,M,L,2,M,M,M,3,M,M,L,2,M,M,M,3,M,L,M
1551092 Clip 1,1551092,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,N,H,4,H,M,M,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,M,L,H,3,M,M,H,3,L,M,L
1551092 Clip 2,1551092,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,M,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,2,M,L,M,3,M,H,H,3,M,M,M,3,M,M,L
712950 Clip 1,712950,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,N,H,4,H,L,H,M,3,M,L,M,3,M,M,M,L,3,M,M,L,M,L,2,M,M,M,3,M,L,L,3,M,L,M,3,L,L,L
379859 Clip 1,379859,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,M,4,M,M,M,M,3,M,M,M,3,M,M,M,L,3,M,L,L,M,L,2,M,M,M,3,M,M,H,1,M,M,H,1,M,M,M
381855 Clip 1,381855,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,M,4,H,M,M,M,3,M,M,M,3,M,M,M,M,3,M,M,M,M,M,2,M,M,M,3,M,M,H,3,M,L,M,1,M,M,M
382242 Clip 1,382242,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,M,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,H,M,M,3,M,M,M,3,M,M,M,3,M,M,M,3,M,M,M
382242 Clip 2,382242,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,H,H,M,4,M,M,M,3,M,M,M,M,3,M,M,H,M,M,3,M,M,M,3,M,M,H,3,M,M,H,1,M,M,M
420703 Clip 2,420703,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,M,M,3,M,M,M,3,M,M,M,M,3,M,M,M,M,M,3,M,M,M,3,M,M,H,3,M,M,M,3,M,M,M
428953 Clip 1,428953,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,M,M,M,3,M,M,M,3,M,M,M,3,H,M,M,1,M,L,M
428953 Clip 2,428953,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,L,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,3,M,M,M,3,M,L,H,3,M,M,M,1,M,L,M
808147 Clip 1,808147,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,M,M,M,M,3,M,M,M,3,L,L,L,L,3,M,M,L,M,L,2,L,L,M,3,M,L,H,2,M,M,M,1,M,M,L
808147 Clip 2,808147,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,L,Y,L,Y,L,4,H,M,M,M,3,M,L,M,3,M,M,L,L,3,M,M,L,M,L,2,M,M,M,3,L,L,L,2,M,L,M,1,L,L,L
829457 Clip 2,829457,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,L,N,L,N,L,3,M,L,H,M,1,L,L,M,3,L,H,L,L,1,L,L,L,M,L,1,L,L,M,1,L,L,L,1,M,L,L,1,L,L,L
829457 Clip 1,829457,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,M,M,3,M,M,M,3,M,M,M,L,3,M,M,M,M,M,3,M,M,M,3,M,M,H,3,M,M,M,1,M,L,M
268367 Clip 1,268367,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,M,4,H,H,H,M,3,M,M,H,3,M,M,H,M,3,M,M,H,M,M,3,M,M,M,3,M,H,H,3,H,M,H,1,M,M,M
268367 Clip 2,268367,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,M,Y,M,N,L,3,M,L,H,M,1,L,L,M,3,L,M,L,L,1,M,M,L,M,L,2,L,L,M,1,L,L,L,2,M,L,L,1,L,L,L
268516 Clip 2,268516,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,L,4,H,M,H,M,3,M,M,H,3,M,M,M,M,3,M,M,H,M,M,2,L,M,M,3,M,M,H,2,M,M,M,1,L,M,M
690867 Clip 1,690867,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,H,M,3,M,M,H,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,M,M,H,3,M,M,H,1,M,M,M
269779 Clip 1,269779,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,L,4,M,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,H,M,M,3,M,M,M,3,M,M,H,3,M,M,M,1,M,M,M
269779 Clip 2,269779,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,L,Y,M,Y,M,4,H,M,M,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,3,M,L,M,3,L,L,L,2,M,M,M,1,M,M,L
269860 Clip 2,269860,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,L,4,H,H,H,M,4,M,M,H,3,M,M,M,L,3,M,M,L,M,L,2,L,M,M,3,L,L,H,3,M,M,M,1,M,M,H
269910 Clip 1,269910,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,3,M,M,L,3,M,M,M,M,3,M,M,L,M,M,2,M,L,M,3,M,M,H,4,M,M,M,1,M,L,M
269910 Clip 2,269910,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,M,M,1,L,M,H,3,L,M,L,L,3,M,L,L,M,M,2,L,L,L,1,L,L,L,2,M,M,H,1,L,L,L
351775 Clip 1,351775,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,H,4,H,M,M,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,3,M,M,M,3,M,M,H,3,M,M,M,1,M,M,L
